Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,524.5,377.833,0,80.7,0,0,NA,NA,NA,NA,NA
2,1,2,522.5,377.833,0,81.7,2,2,NA,2,NA,180,NA
3,1,3,521.833,377.833,0,79.7,2.667,2.667,NA,0.667,NA,180,0
4,1,4,519.167,379.167,0,84.3,5.648,5.497,NA,2.981,NA,153.435,-26.565
5,1,5,519.167,378.5,0,82.4,6.315,5.375,NA,0.667,NA,-90,116.565
6,1,6,518.5,378.5,0,82.7,6.981,6.037,NA,0.667,NA,180,-90
7,1,7,517.833,380.5,0,79.7,9.09,7.18,NA,2.108,NA,108.435,-71.565
8,1,8,517.167,381.167,0,82.4,10.032,8.055,NA,0.943,NA,135,26.565
9,1,9,516.5,381.167,0,82.7,10.699,8.667,NA,0.667,NA,180,45
10,1,10,516.5,381.167,0,83.3,10.699,8.667,NA,0,NA,0,-180
11,1,11,516.5,381.167,0,80.3,10.699,8.667,NA,0,NA,0,0
12,1,12,515.833,381.167,0,84.6,11.366,9.286,NA,0.667,NA,180,180
13,1,13,515.833,381.167,0,86.3,11.366,9.286,NA,0,NA,0,-180
14,1,14,515.833,381.167,0,86,11.366,9.286,NA,0,NA,0,0
15,1,15,515.833,381.167,0,81.7,11.366,9.286,NA,0,NA,0,0
16,1,16,513.833,381.833,0,83.6,13.474,11.392,NA,2.108,NA,161.565,161.565
17,1,17,513.833,381.833,0,81.7,13.474,11.392,NA,0,NA,0,-161.565
18,1,18,512.5,381.833,0,84.9,14.807,12.649,NA,1.333,NA,180,180
19,1,19,512.5,381.833,0,81.7,14.807,12.649,NA,0,NA,0,-180
20,1,20,511.167,381.833,0,86.6,16.141,13.92,NA,1.333,NA,180,180
21,1,21,509.833,381.167,0,83.3,17.631,15.041,NA,1.491,NA,-153.435,26.565
22,1,22,508.5,380.5,0,84.9,19.122,16.221,NA,1.491,NA,-153.435,0
23,1,23,509.167,380.5,0,86.6,19.789,15.563,NA,0.667,NA,0,153.435
24,1,24,507.833,381.167,0,89.7,21.279,16.997,NA,1.491,NA,153.435,153.435
25,1,25,507.833,381.167,0,88.1,21.279,16.997,NA,0,NA,0,-153.435
26,1,26,507.833,381.167,0,88.1,21.279,16.997,NA,0,NA,0,0
27,1,27,507.167,381.167,0,90.3,21.946,17.651,NA,0.667,NA,180,180
28,1,28,504.5,381.833,0,97.2,24.695,20.396,NA,2.749,NA,165.964,-14.036
29,1,29,503.833,381.833,0,89.7,25.361,21.05,NA,0.667,NA,180,14.036
30,1,30,503.833,381.833,0,94.2,25.361,21.05,NA,0,NA,0,-180
31,1,31,503.167,382.5,0,89.7,26.304,21.838,NA,0.943,NA,135,135
32,1,32,502.5,381.833,0,95.3,27.247,22.361,NA,0.943,NA,-135,90
33,1,33,502.5,381.833,0,91.4,27.247,22.361,NA,0,NA,0,135
34,1,34,502.5,381.833,0,90,27.247,22.361,NA,0,NA,0,0
35,1,35,501.167,381.833,0,95.6,28.58,23.674,NA,1.333,NA,180,180
36,1,36,500.5,381.167,0,96.6,29.523,24.23,NA,0.943,NA,-135,45
37,1,37,499.167,381.167,0,95.3,30.857,25.552,NA,1.333,NA,180,-45
38,1,38,499.167,380.5,0,94.7,31.523,25.473,NA,0.667,NA,-90,90
39,1,39,497.833,381.167,0,98,33.014,26.874,NA,1.491,NA,153.435,-116.565
40,1,40,495.167,380.5,0,97.7,35.763,29.454,NA,2.749,NA,-165.964,40.601
41,1,41,495.167,379.833,0,105.9,36.429,29.401,NA,0.667,NA,-90,75.964
42,1,42,495.833,379.833,0,101.7,37.096,28.736,NA,0.667,NA,0,90
43,1,43,495.167,379.833,0,102,37.763,29.401,NA,0.667,NA,180,180
44,1,44,495.167,379.833,0,98,37.763,29.401,NA,0,NA,0,-180
45,1,45,493.833,379.833,0,97.2,39.096,30.732,NA,1.333,NA,180,180
46,1,46,493.833,379.833,0,90.1,39.096,30.732,NA,0,NA,0,-180
47,1,47,492.5,379.833,0,95,40.429,32.062,NA,1.333,NA,180,180
48,1,48,491.167,379.167,0,100.1,41.92,33.36,NA,1.491,NA,-153.435,26.565
49,1,49,491.167,379.167,0,100.1,41.92,33.36,NA,0,NA,0,153.435
50,1,50,489.167,379.167,0,102.6,43.92,35.358,NA,2,NA,180,180
51,1,51,489.833,378.5,0,99.8,44.863,34.673,NA,0.943,NA,-45,135
52,1,52,488.5,378.5,0,102,46.196,36.006,NA,1.333,NA,180,-135
53,1,53,488.5,378.5,0,98.3,46.196,36.006,NA,0,NA,0,-180
54,1,54,488.5,378.5,0,98.6,46.196,36.006,NA,0,NA,0,0
55,1,55,487.167,378.5,0,98.6,47.53,37.339,NA,1.333,NA,180,180
56,1,56,485.833,377.833,0,100.7,49.02,38.667,NA,1.491,NA,-153.435,26.565
57,1,57,484.5,377.833,0,103.4,50.354,40,NA,1.333,NA,180,-26.565
58,1,58,484.5,377.833,0,96.6,50.354,40,NA,0,NA,0,-180
59,1,59,484.5,377.833,0,96.6,50.354,40,NA,0,NA,0,0
60,1,60,483.833,377.833,0,98.4,51.02,40.667,NA,0.667,NA,180,180
61,1,61,483.833,379.167,0,99.8,52.354,40.689,NA,1.333,NA,90,-90
62,1,62,483.167,379.167,0,100.1,53.02,41.355,NA,0.667,NA,180,90
63,1,63,483.167,379.167,0,100.1,53.02,41.355,NA,0,NA,0,-180
64,1,64,483.167,379.167,0,98.9,53.02,41.355,NA,0,NA,0,0
65,1,65,483.167,379.167,0,98.4,53.02,41.355,NA,0,NA,0,0
66,1,66,482.5,379.833,0,98,53.963,42.048,NA,0.943,NA,135,135
67,1,67,482.5,379.833,0,97.2,53.963,42.048,NA,0,NA,0,-135
68,1,68,481.833,381.167,0,96.9,55.454,42.797,NA,1.491,NA,116.565,116.565
69,1,69,481.833,381.167,0,96.9,55.454,42.797,NA,0,NA,0,-116.565
70,1,70,481.833,381.167,0,96.6,55.454,42.797,NA,0,NA,0,0
71,1,71,479.167,382.5,0,98.6,58.435,45.573,NA,2.981,NA,153.435,153.435
72,1,72,478.5,382.5,0,96.3,59.102,46.236,NA,0.667,NA,180,26.565
73,1,73,478.5,382.5,0,98.6,59.102,46.236,NA,0,NA,0,-180
74,1,74,478.5,382.5,0,96.3,59.102,46.236,NA,0,NA,0,0
75,1,75,478.5,382.5,0,98,59.102,46.236,NA,0,NA,0,0
76,1,76,478.5,382.5,0,100.7,59.102,46.236,NA,0,NA,0,0
77,1,77,478.5,382.5,0,98.7,59.102,46.236,NA,0,NA,0,0
78,1,78,477.167,383.167,0,96.3,60.593,47.633,NA,1.491,NA,153.435,153.435
79,1,79,477.167,384.5,0,96.9,61.926,47.801,NA,1.333,NA,90,-63.435
80,1,80,477.167,384.5,0,96.9,61.926,47.801,NA,0,NA,0,-90
81,1,81,477.167,384.5,0,97.5,61.926,47.801,NA,0,NA,0,0
82,1,82,476.5,387.167,0,98.9,64.675,48.899,NA,2.749,NA,104.036,104.036
83,1,83,476.5,387.167,0,98.6,64.675,48.899,NA,0,NA,0,-104.036
84,1,84,476.5,387.167,0,98.6,64.675,48.899,NA,0,NA,0,0
85,1,85,476.5,387.833,0,99.2,65.341,49.031,NA,0.667,NA,90,90
86,1,86,476.5,387.833,0,97.3,65.341,49.031,NA,0,NA,0,-90
87,1,87,476.5,387.833,0,98.9,65.341,49.031,NA,0,NA,0,0
88,1,88,476.5,389.167,0,98.6,66.675,49.32,NA,1.333,NA,90,90
89,1,89,476.5,389.167,0,100.7,66.675,49.32,NA,0,NA,0,-90
90,1,90,476.5,389.833,0,96,67.341,49.477,NA,0.667,NA,90,90
91,1,91,477.167,389.833,0,99.8,68.008,48.831,NA,0.667,NA,0,-90
92,1,92,477.167,390.5,0,97.5,68.675,48.999,NA,0.667,NA,90,90
93,1,93,477.167,390.5,0,98.1,68.675,48.999,NA,0,NA,0,-90
94,1,94,477.167,391.833,0,97.2,70.008,49.36,NA,1.333,NA,90,90
95,1,95,477.167,391.833,0,103.4,70.008,49.36,NA,0,NA,0,-90
96,1,96,477.167,391.833,0,103.1,70.008,49.36,NA,0,NA,0,0
97,1,97,479.167,393.833,0,96.9,72.836,48.074,NA,2.828,NA,45,45
98,1,98,478.5,393.833,0,96.6,73.503,48.703,NA,0.667,NA,180,135
99,1,99,478.5,393.833,0,95.3,73.503,48.703,NA,0,NA,0,-180
100,1,100,479.167,393.833,0,95.6,74.17,48.074,NA,0.667,NA,0,0
101,1,101,480.5,395.833,0,91.7,76.573,47.539,NA,2.404,NA,56.31,56.31
102,1,102,480.5,395.833,0,94.2,76.573,47.539,NA,0,NA,0,-56.31
103,1,103,480.5,395.833,0,94.7,76.573,47.539,NA,0,NA,0,0
104,1,104,480.5,395.833,0,93.6,76.573,47.539,NA,0,NA,0,0
105,1,105,480.5,395.833,0,90,76.573,47.539,NA,0,NA,0,0
106,1,106,480.5,395.833,0,90,76.573,47.539,NA,0,NA,0,0
107,1,107,480.5,395.833,0,89.7,76.573,47.539,NA,0,NA,0,0
108,1,108,480.5,395.833,0,92,76.573,47.539,NA,0,NA,0,0
109,1,109,480.5,395.833,0,92.3,76.573,47.539,NA,0,NA,0,0
110,1,110,480.5,395.833,0,90,76.573,47.539,NA,0,NA,0,0
111,1,111,480.5,395.833,0,90,76.573,47.539,NA,0,NA,0,0
112,1,112,480.5,395.833,0,90,76.573,47.539,NA,0,NA,0,0
113,1,113,480.5,395.833,0,92.3,76.573,47.539,NA,0,NA,0,0
114,1,114,480.5,395.833,0,89.7,76.573,47.539,NA,0,NA,0,0
115,1,115,480.5,396.5,0,92,77.24,47.796,NA,0.667,NA,90,90
116,1,116,480.5,396.5,0,92,77.24,47.796,NA,0,NA,0,-90
117,1,117,480.5,396.5,0,89.4,77.24,47.796,NA,0,NA,0,0
118,1,118,481.167,397.167,0,88.1,78.183,47.451,NA,0.943,NA,45,45
119,1,119,481.167,397.167,0,90.3,78.183,47.451,NA,0,NA,0,-45
120,1,120,481.833,398.5,0,88.5,79.674,47.408,NA,1.491,NA,63.435,63.435
121,1,121,481.833,398.5,0,88.5,79.674,47.408,NA,0,NA,0,-63.435
122,1,122,483.167,398.5,0,86.6,81.007,46.212,NA,1.333,NA,0,0
123,1,123,483.167,399.167,0,86.6,81.674,46.514,NA,0.667,NA,90,90
124,1,124,483.833,401.833,0,83.3,84.422,47.221,NA,2.749,NA,75.964,-14.036
125,1,125,483.833,401.833,0,84.4,84.422,47.221,NA,0,NA,0,-75.964
126,1,126,483.833,401.833,0,84.7,84.422,47.221,NA,0,NA,0,0
127,1,127,485.167,403.833,0,86.3,86.826,47.15,NA,2.404,NA,56.31,56.31
128,1,128,484.5,403.833,0,86.3,87.493,47.707,NA,0.667,NA,180,123.69
129,1,129,485.167,403.833,0,85,88.159,47.15,NA,0.667,NA,0,-180
130,1,130,485.167,403.833,0,85.3,88.159,47.15,NA,0,NA,0,0
131,1,131,485.167,403.833,0,82.7,88.159,47.15,NA,0,NA,0,0
132,1,132,485.167,403.833,0,79.4,88.159,47.15,NA,0,NA,0,0
133,1,133,485.833,406.5,0,81.7,90.908,48.134,NA,2.749,NA,75.964,75.964
134,1,134,485.833,407.167,0,82,91.575,48.534,NA,0.667,NA,90,14.036
135,1,135,485.833,407.167,0,81.7,91.575,48.534,NA,0,NA,0,-90
136,1,136,485.833,407.167,0,86,91.575,48.534,NA,0,NA,0,0
137,1,137,485.833,407.167,0,84.7,91.575,48.534,NA,0,NA,0,0
138,1,138,485.833,407.167,0,83.3,91.575,48.534,NA,0,NA,0,0
139,1,139,485.833,407.167,0,82.7,91.575,48.534,NA,0,NA,0,0
140,1,140,485.833,407.167,0,84.4,91.575,48.534,NA,0,NA,0,0
141,1,141,485.833,407.167,0,83,91.575,48.534,NA,0,NA,0,0
142,1,147,487.167,408.5,0,83.3,93.46,48.314,NA,1.886,NA,45,45
143,2,2,501.167,388.5,0,72.6,0,0,NA,NA,NA,NA,NA
144,2,3,500.5,388.5,0,73.3,0.667,0.667,NA,0.667,NA,180,NA
145,2,4,500.5,389.167,0,78.2,1.333,0.943,NA,0.667,NA,90,-90
146,2,5,500.5,389.167,0,81.4,1.333,0.943,NA,0,NA,0,-90
147,2,6,500.5,389.167,0,85.3,1.333,0.943,NA,0,NA,0,0
148,2,7,500.5,389.167,0,90.1,1.333,0.943,NA,0,NA,0,0
149,2,8,500.5,389.167,0,90.1,1.333,0.943,NA,0,NA,0,0
150,2,9,498.5,392.5,0,67.6,5.221,4.807,NA,3.887,NA,120.964,120.964
151,2,10,497.833,393.833,0,71,6.711,6.289,NA,1.491,NA,116.565,-4.399
152,2,11,497.833,393.833,0,66,6.711,6.289,NA,0,NA,0,-116.565
153,2,12,497.833,393.833,0,66,6.711,6.289,NA,0,NA,0,0
154,2,13,497.833,393.833,0,64,6.711,6.289,NA,0,NA,0,0
155,2,14,495.833,395.833,0,66,9.54,9.068,NA,2.828,NA,135,135
156,2,15,495.833,395.833,0,65.7,9.54,9.068,NA,0,NA,0,-135
157,2,16,495.833,395.833,0,67.3,9.54,9.068,NA,0,NA,0,0
158,2,17,495.167,395.833,0,73.6,10.206,9.475,NA,0.667,NA,180,180
159,2,18,495.167,395.833,0,74.3,10.206,9.475,NA,0,NA,0,-180
160,2,19,493.833,397.167,0,76,12.092,11.353,NA,1.886,NA,135,135
161,2,20,491.833,397.833,0,80,14.2,13.199,NA,2.108,NA,161.565,26.565
162,2,21,491.167,397.833,0,79.7,14.867,13.679,NA,0.667,NA,180,18.435
163,2,22,489.167,399.167,0,86.9,17.271,16.055,NA,2.404,NA,146.31,-33.69
164,2,23,489.167,399.167,0,86.6,17.271,16.055,NA,0,NA,0,-146.31
165,2,24,489.167,400.5,0,73.6,18.604,16.971,NA,1.333,NA,90,90
166,2,25,487.167,401.833,0,73,21.008,19.333,NA,2.404,NA,146.31,56.31
167,2,26,486.5,403.167,0,71.4,22.498,20.742,NA,1.491,NA,116.565,-29.745
168,2,27,486.5,403.167,0,75,22.498,20.742,NA,0,NA,0,-116.565
169,2,28,484.5,403.833,0,71.1,24.607,22.647,NA,2.108,NA,161.565,161.565
170,2,29,482.5,404.5,0,84.7,26.715,24.585,NA,2.108,NA,161.565,0
171,2,30,482.5,404.5,0,76.9,26.715,24.585,NA,0,NA,0,-161.565
172,2,31,482.5,404.5,0,81.4,26.715,24.585,NA,0,NA,0,0
173,2,32,481.833,405.167,0,90.4,27.658,25.526,NA,0.943,NA,135,135
174,2,33,481.833,405.167,0,90.4,27.658,25.526,NA,0,NA,0,-135
175,2,34,481.833,405.167,0,90.4,27.658,25.526,NA,0,NA,0,0
176,2,35,480.5,405.833,0,86,29.148,26.973,NA,1.491,NA,153.435,153.435
177,2,36,480.5,405.833,0,86.3,29.148,26.973,NA,0,NA,0,-153.435
178,2,37,479.833,405.833,0,97,29.815,27.487,NA,0.667,NA,180,180
179,2,38,479.833,406.5,0,88.3,30.482,27.913,NA,0.667,NA,90,-90
180,2,39,479.167,407.167,0,91.7,31.424,28.852,NA,0.943,NA,135,45
181,2,40,479.167,407.167,0,92,31.424,28.852,NA,0,NA,0,-135
182,2,41,477.833,407.833,0,90.1,32.915,30.302,NA,1.491,NA,153.435,153.435
183,2,42,477.833,407.833,0,88,32.915,30.302,NA,0,NA,0,-153.435
184,2,43,475.833,409.167,0,89.8,35.319,32.694,NA,2.404,NA,146.31,146.31
185,2,44,475.833,409.167,0,91.7,35.319,32.694,NA,0,NA,0,-146.31
186,2,45,474.5,409.167,0,92,36.652,33.738,NA,1.333,NA,180,180
187,2,46,472.5,412.5,0,79.1,40.539,37.387,NA,3.887,NA,120.964,-59.036
188,2,47,471.167,413.833,0,79.7,42.425,39.265,NA,1.886,NA,135,14.036
189,2,48,471.167,413.833,0,76,42.425,39.265,NA,0,NA,0,-135
190,2,49,471.167,414.5,0,73,43.092,39.699,NA,0.667,NA,90,90
191,2,50,471.167,414.5,0,74.3,43.092,39.699,NA,0,NA,0,-90
192,2,51,471.167,414.5,0,75,43.092,39.699,NA,0,NA,0,0
193,2,52,467.167,415.833,0,78.5,47.308,43.625,NA,4.216,NA,161.565,161.565
194,2,53,465.833,415.833,0,81.4,48.641,44.672,NA,1.333,NA,180,18.435
195,2,54,465.833,415.833,0,81.1,48.641,44.672,NA,0,NA,0,-180
196,2,55,466.5,415.833,0,77.9,49.308,44.146,NA,0.667,NA,0,0
197,2,56,466.5,416.5,0,74.9,49.975,44.562,NA,0.667,NA,90,90
198,2,57,466.5,416.5,0,74.3,49.975,44.562,NA,0,NA,0,-90
199,2,58,466.5,416.5,0,73,49.975,44.562,NA,0,NA,0,0
200,2,59,466.5,416.5,0,67.9,49.975,44.562,NA,0,NA,0,0
201,2,60,464.5,417.167,0,73.6,52.083,46.543,NA,2.108,NA,161.565,161.565
202,2,61,462.5,417.167,0,70,54.083,48.134,NA,2,NA,180,18.435
203,2,62,462.5,417.167,0,73,54.083,48.134,NA,0,NA,0,-180
204,2,63,462.5,417.167,0,71.7,54.083,48.134,NA,0,NA,0,0
205,2,64,461.167,417.167,0,73,55.416,49.212,NA,1.333,NA,180,180
206,2,65,460.5,415.833,0,74.3,56.907,48.999,NA,1.491,NA,-116.565,63.435
207,2,66,460.5,415.833,0,68.8,56.907,48.999,NA,0,NA,0,116.565
208,2,67,460.5,415.167,0,70,57.574,48.63,NA,0.667,NA,-90,-90
209,2,68,460.5,415.167,0,71.7,57.574,48.63,NA,0,NA,0,90
210,2,69,460.5,415.167,0,68.8,57.574,48.63,NA,0,NA,0,0
211,2,70,460.5,415.167,0,66.6,57.574,48.63,NA,0,NA,0,0
212,2,71,457.833,415.167,0,73.6,60.24,50.881,NA,2.667,NA,180,180
213,2,72,456.5,413.167,0,76.3,62.644,51.025,NA,2.404,NA,-123.69,56.31
214,2,73,456.5,413.167,0,69.7,62.644,51.025,NA,0,NA,0,123.69
215,2,74,456.5,413.167,0,69.4,62.644,51.025,NA,0,NA,0,0
216,2,75,456.5,413.167,0,68.8,62.644,51.025,NA,0,NA,0,0
217,2,76,456.5,413.167,0,73.6,62.644,51.025,NA,0,NA,0,0
218,2,77,456.5,413.167,0,74.6,62.644,51.025,NA,0,NA,0,0
219,2,78,456.5,413.167,0,73.6,62.644,51.025,NA,0,NA,0,0
220,2,79,456.5,413.167,0,76,62.644,51.025,NA,0,NA,0,0
221,2,80,455.833,409.833,0,69.7,66.043,50.102,NA,3.399,NA,-101.31,-101.31
222,2,81,455.833,409.833,0,65.7,66.043,50.102,NA,0,NA,0,101.31
223,2,82,455.833,409.833,0,69.7,66.043,50.102,NA,0,NA,0,0
224,2,83,455.833,409.833,0,67.3,66.043,50.102,NA,0,NA,0,0
225,2,84,455.833,407.833,0,74.3,68.043,49.284,NA,2,NA,-90,-90
226,2,85,455.833,407.833,0,73,68.043,49.284,NA,0,NA,0,90
227,2,86,455.833,407.833,0,70.7,68.043,49.284,NA,0,NA,0,0
228,2,87,455.833,407.833,0,73,68.043,49.284,NA,0,NA,0,0
229,2,88,455.833,407.833,0,73,68.043,49.284,NA,0,NA,0,0
230,2,89,455.833,407.833,0,70,68.043,49.284,NA,0,NA,0,0
231,2,90,455.833,409.167,0,66,69.377,49.822,NA,1.333,NA,90,90
232,2,91,455.833,409.167,0,66,69.377,49.822,NA,0,NA,0,-90
233,2,92,455.833,409.167,0,66,69.377,49.822,NA,0,NA,0,0
234,2,93,455.833,409.167,0,66.2,69.377,49.822,NA,0,NA,0,0
235,2,94,455.833,409.167,0,66.2,69.377,49.822,NA,0,NA,0,0
